"Gender" "Length" "Diameter" "Height" "Weight" "Shucked" "Viscera" "Shell"
"1459" "M" 0.48 0.36 0.125 0.542 0.2795 0.1025 0.147
"2542" "F" 0.69 0.55 0.18 1.659 0.8715 0.2655 0.4395
"1876" "F" 0.54 0.425 0.16 0.9455 0.3675 0.2005 0.295
"3479" "M" 0.435 0.335 0.11 0.411 0.2025 0.0945 0.1
"3349" "M" 0.49 0.385 0.115 0.683 0.3265 0.1615 0.165
"4125" "M" 0.5 0.385 0.12 0.516 0.197 0.1305 0.165
"1673" "F" 0.61 0.475 0.16 1.1155 0.3835 0.223 0.379
"3145" "F" 0.625 0.48 0.2 1.3235 0.6075 0.3055 0.355
"1756" "F" 0.72 0.525 0.18 1.445 0.631 0.3215 0.435
"1545" "M" 0.37 0.27 0.095 0.2175 0.097 0.046 0.065
"1385" "F" 0.63 0.485 0.17 1.3205 0.5945 0.345 0.345
"875" "F" 0.625 0.49 0.2 1.3825 0.5895 0.285 0.381
"3375" "F" 0.475 0.375 0.125 0.588 0.237 0.1715 0.155
"1118" "M" 0.53 0.4 0.125 0.617 0.279 0.127 0.19
"967" "M" 0.51 0.375 0.1 0.5785 0.238 0.1225 0.175
"1074" "M" 0.405 0.3 0.11 0.32 0.172 0.044 0.093
"2900" "M" 0.55 0.425 0.13 0.664 0.2695 0.163 0.21
"1261" "M" 0.44 0.34 0.12 0.438 0.2115 0.083 0.12
"1326" "F" 0.565 0.45 0.145 0.8495 0.4215 0.1685 0.225
"1092" "M" 0.45 0.33 0.11 0.3685 0.16 0.0885 0.102
"2716" "M" 0.335 0.25 0.08 0.167 0.0675 0.0325 0.0575
"2423" "F" 0.475 0.365 0.13 0.4805 0.1905 0.114 0.1475
"2821" "M" 0.375 0.285 0.09 0.2545 0.119 0.0595 0.0675
"3475" "M" 0.355 0.265 0.085 0.2435 0.122 0.0525 0.06
"3186" "F" 0.59 0.415 0.15 0.8805 0.3645 0.234 0.235
"1580" "M" 0.495 0.4 0.105 0.602 0.2505 0.1265 0.19
"1037" "F" 0.66 0.505 0.185 1.528 0.69 0.3025 0.441
"1490" "F" 0.605 0.485 0.165 0.9515 0.4535 0.193 0.2765
"1739" "F" 0.67 0.54 0.195 1.619 0.74 0.3305 0.465
"3595" "F" 0.66 0.5 0.155 1.3765 0.6485 0.288 0.335
"4173" "F" 0.565 0.45 0.165 0.887 0.37 0.239 0.249
"558" "F" 0.66 0.5 0.165 1.1905 0.4585 0.298 0.37
"22" "M" 0.38 0.275 0.1 0.2255 0.08 0.049 0.085
"296" "M" 0.295 0.215 0.085 0.128 0.049 0.034 0.04
"3158" "F" 0.43 0.35 0.09 0.397 0.1575 0.089 0.12
"3892" "F" 0.56 0.46 0.18 0.97 0.342 0.196 0.355
"1242" "M" 0.38 0.27 0.08 0.2105 0.0865 0.042 0.07
"330" "M" 0.36 0.28 0.09 0.2255 0.0885 0.04 0.09
"2517" "M" 0.475 0.365 0.12 0.53 0.2505 0.0975 0.1625
"305" "F" 0.47 0.36 0.13 0.472 0.182 0.114 0.15
"890" "F" 0.685 0.54 0.16 1.6675 0.833 0.3775 0.475
"176" "M" 0.36 0.26 0.09 0.1785 0.0645 0.037 0.075
"2755" "M" 0.525 0.385 0.13 0.607 0.2355 0.125 0.195
"340" "F" 0.565 0.45 0.195 1.0035 0.406 0.2505 0.285
"1048" "F" 0.705 0.535 0.18 1.685 0.693 0.42 0.4045
"2748" "M" 0.49 0.365 0.125 0.5585 0.252 0.126 0.1615
"1250" "M" 0.395 0.27 0.1 0.2985 0.1445 0.061 0.082
"3792" "F" 0.65 0.495 0.175 1.227 0.528 0.258 0.37
"2942" "F" 0.63 0.48 0.165 1.2615 0.5505 0.277 0.3885
"3431" "M" 0.325 0.24 0.075 0.152 0.065 0.0305 0.045
"626" "F" 0.525 0.405 0.16 0.658 0.2655 0.1125 0.225
"3039" "M" 0.565 0.44 0.135 0.768 0.3305 0.1385 0.2475
"1967" "F" 0.665 0.5 0.15 1.2475 0.4625 0.2955 0.3595
"3958" "F" 0.555 0.44 0.155 1.016 0.4935 0.1855 0.263
"1487" "F" 0.595 0.455 0.16 1.04 0.452 0.2655 0.288
"4037" "M" 0.54 0.42 0.14 0.74 0.3595 0.159 0.1985
"380" "F" 0.61 0.495 0.185 1.1085 0.3705 0.3135 0.33
"2571" "M" 0.465 0.355 0.11 0.474 0.23 0.1005 0.12
"3864" "F" 0.655 0.5 0.18 1.4155 0.508 0.314 0.445
"3453" "F" 0.555 0.44 0.145 0.8815 0.43 0.1975 0.2155
"2697" "F" 0.65 0.49 0.155 1.122 0.545 0.228 0.3055
"1266" "M" 0.46 0.36 0.105 0.466 0.2225 0.099 0.11
"815" "M" 0.315 0.24 0.085 0.1715 0.071 0.0345 0.0535
"2728" "M" 0.405 0.305 0.1 0.271 0.0965 0.061 0.091
"211" "F" 0.49 0.365 0.145 0.6345 0.1995 0.1625 0.22
"3531" "M" 0.36 0.265 0.09 0.2055 0.096 0.037 0.0585
"742" "F" 0.36 0.265 0.09 0.2065 0.078 0.057 0.06
"424" "M" 0.29 0.225 0.07 0.101 0.036 0.0235 0.035
"2237" "F" 0.56 0.435 0.185 1.106 0.422 0.2435 0.33
"2419" "F" 0.465 0.35 0.13 0.494 0.1945 0.103 0.155
"1587" "M" 0.515 0.35 0.105 0.4745 0.213 0.123 0.1275
"4042" "M" 0.575 0.45 0.15 0.858 0.449 0.166 0.215
"2820" "M" 0.375 0.265 0.095 0.196 0.085 0.042 0.0585
"1040" "F" 0.66 0.475 0.18 1.3695 0.641 0.294 0.335
"1867" "M" 0.52 0.385 0.115 0.581 0.2555 0.156 0.143
"1204" "F" 0.73 0.575 0.185 1.8795 0.931 0.38 0.4825
"3353" "F" 0.52 0.405 0.145 0.829 0.3535 0.1685 0.205
"3303" "F" 0.71 0.575 0.175 1.555 0.6465 0.3705 0.52
"3245" "F" 0.69 0.555 0.205 1.8165 0.7785 0.4395 0.515
"1445" "M" 0.425 0.34 0.105 0.389 0.2015 0.0905 0.088
"1941" "F" 0.625 0.52 0.18 1.354 0.4845 0.351 0.375
"3079" "F" 0.695 0.535 0.2 1.5855 0.667 0.334 0.471
"2570" "M" 0.46 0.345 0.115 0.4215 0.1895 0.102 0.111
"3320" "F" 0.705 0.555 0.2 1.4685 0.4715 0.3235 0.52
"3439" "M" 0.43 0.335 0.105 0.378 0.188 0.0785 0.09
"2177" "F" 0.57 0.45 0.17 1.098 0.414 0.187 0.405
"2005" "M" 0.375 0.275 0.085 0.22 0.109 0.05 0.0605
"2879" "F" 0.465 0.35 0.11 0.4085 0.165 0.102 0.131
"3753" "M" 0.475 0.355 0.135 0.4775 0.2145 0.09 0.1435
"2001" "M" 0.355 0.27 0.105 0.271 0.1425 0.0525 0.0735
"1182" "F" 0.655 0.51 0.175 1.415 0.5885 0.3725 0.364
"3346" "F" 0.48 0.38 0.145 0.59 0.232 0.141 0.23
"2718" "M" 0.345 0.255 0.095 0.183 0.075 0.0385 0.06
"2460" "F" 0.585 0.47 0.17 1.099 0.3975 0.2325 0.358
"617" "F" 0.47 0.355 0.14 0.433 0.1525 0.095 0.152
"2861" "F" 0.72 0.55 0.18 1.52 0.637 0.325 0.435
"1535" "M" 0.3 0.23 0.085 0.117 0.05 0.0175 0.0415
"270" "F" 0.45 0.36 0.125 0.4995 0.2035 0.1 0.17
"3023" "M" 0.46 0.37 0.11 0.3965 0.1485 0.0855 0.1455
"2072" "F" 0.565 0.44 0.135 0.83 0.393 0.1735 0.238
"3291" "F" 0.51 0.395 0.12 0.6175 0.262 0.122 0.193
"2201" "F" 0.65 0.515 0.195 1.4005 0.5195 0.36 0.44
"3894" "M" 0.435 0.355 0.125 0.4075 0.1535 0.074 0.165
"2286" "M" 0.42 0.33 0.1 0.352 0.1635 0.089 0.1
"2726" "M" 0.395 0.32 0.1 0.3075 0.149 0.0535 0.09
"2225" "F" 0.55 0.425 0.145 0.797 0.297 0.15 0.265
"1227" "M" 0.35 0.27 0.075 0.215 0.1 0.036 0.065
"1921" "F" 0.605 0.455 0.145 0.862 0.334 0.1985 0.3
"3324" "F" 0.395 0.3 0.105 0.3375 0.1435 0.0755 0.098
"1085" "M" 0.445 0.345 0.105 0.409 0.1675 0.1015 0.117
"1277" "M" 0.48 0.355 0.115 0.4725 0.2065 0.112 0.132
"3747" "M" 0.36 0.265 0.085 0.1865 0.0675 0.037 0.0615
"3031" "M" 0.52 0.395 0.115 0.6445 0.3155 0.1245 0.186
"2333" "F" 0.515 0.42 0.135 0.6295 0.2815 0.127 0.215
"836" "M" 0.45 0.35 0.13 0.547 0.245 0.1405 0.1405
"2960" "F" 0.66 0.525 0.16 1.277 0.4975 0.319 0.394
"152" "F" 0.605 0.5 0.185 1.1185 0.469 0.2585 0.335
"2978" "M" 0.43 0.33 0.1 0.449 0.254 0.0825 0.097
"135" "M" 0.265 0.2 0.065 0.0975 0.04 0.0205 0.028
"4067" "M" 0.395 0.31 0.085 0.317 0.153 0.0505 0.0935
"209" "F" 0.525 0.415 0.17 0.8325 0.2755 0.1685 0.31
"2406" "M" 0.655 0.515 0.145 1.25 0.5265 0.283 0.315
"321" "M" 0.265 0.21 0.06 0.0965 0.0425 0.022 0.03
"1680" "F" 0.62 0.515 0.155 1.3255 0.6685 0.2605 0.335
"1071" "M" 0.375 0.275 0.1 0.2325 0.1165 0.042 0.065
"132" "F" 0.44 0.35 0.125 0.4035 0.175 0.063 0.129
"2514" "F" 0.465 0.35 0.135 0.6265 0.259 0.1445 0.175
"2758" "M" 0.525 0.375 0.12 0.6315 0.3045 0.114 0.19
"2512" "M" 0.425 0.31 0.105 0.365 0.159 0.0825 0.105
"229" "F" 0.58 0.465 0.165 1.1015 0.404 0.2095 0.35
"2888" "M" 0.51 0.4 0.145 0.5775 0.231 0.143 0.177
"3657" "M" 0.53 0.395 0.125 0.6235 0.2975 0.108 0.195
"3252" "M" 0.455 0.375 0.125 0.533 0.233 0.106 0.185
"1881" "M" 0.55 0.435 0.14 0.7995 0.295 0.1905 0.238
"564" "F" 0.545 0.415 0.15 0.7335 0.2795 0.163 0.2185
"1866" "M" 0.52 0.38 0.115 0.6645 0.3285 0.17 0.1425
"2901" "F" 0.55 0.435 0.14 0.745 0.347 0.174 0.2265
"999" "F" 0.59 0.455 0.145 1.063 0.5155 0.2445 0.25
"3696" "F" 0.65 0.52 0.195 1.281 0.5985 0.246 0.3825
"1724" "F" 0.655 0.505 0.19 1.3485 0.5935 0.2745 0.425
"3120" "F" 0.525 0.4 0.135 0.714 0.318 0.138 0.208
"1093" "M" 0.46 0.35 0.115 0.4155 0.18 0.098 0.1175
"1809" "F" 0.635 0.475 0.15 1.1845 0.533 0.307 0.291
"3559" "M" 0.55 0.425 0.155 0.8725 0.412 0.187 0.2425
"3755" "M" 0.485 0.37 0.14 0.5065 0.2425 0.088 0.1465
"3649" "M" 0.49 0.39 0.12 0.511 0.2205 0.103 0.1745
"2311" "F" 0.435 0.35 0.11 0.384 0.143 0.1005 0.125
"419" "F" 0.63 0.5 0.155 1.005 0.367 0.199 0.36
"1311" "M" 0.545 0.405 0.135 0.5945 0.27 0.1185 0.185
"1871" "M" 0.53 0.43 0.14 0.677 0.298 0.0965 0.23
"2611" "F" 0.63 0.495 0.145 1.147 0.5455 0.266 0.2885
"2247" "F" 0.38 0.325 0.11 0.3105 0.12 0.074 0.105
"1308" "M" 0.545 0.435 0.135 0.7715 0.372 0.148 0.227
"3715" "F" 0.725 0.56 0.185 1.792 0.873 0.367 0.435
"649" "M" 0.46 0.35 0.12 0.4885 0.193 0.105 0.155
"2284" "M" 0.435 0.345 0.12 0.4475 0.221 0.112 0.125
"1843" "M" 0.435 0.33 0.11 0.38 0.1515 0.0945 0.11
"3011" "M" 0.375 0.26 0.08 0.2075 0.09 0.0415 0.07
"2778" "M" 0.585 0.42 0.145 0.6735 0.2895 0.1345 0.22
"819" "M" 0.35 0.25 0.07 0.18 0.0655 0.048 0.054
"1047" "F" 0.695 0.535 0.175 1.8385 0.8035 0.396 0.503
"1400" "F" 0.65 0.505 0.165 1.16 0.4785 0.274 0.349
"3193" "F" 0.525 0.405 0.115 0.72 0.3105 0.1915 0.2
"1304" "F" 0.535 0.41 0.13 0.7145 0.335 0.144 0.2075
"2307" "F" 0.65 0.5 0.165 1.1445 0.485 0.218 0.365
"2768" "M" 0.56 0.44 0.14 0.825 0.402 0.139 0.245
"2321" "M" 0.4 0.31 0.1 0.2875 0.1145 0.0635 0.095
"3990" "F" 0.67 0.52 0.195 1.8065 0.758 0.3735 0.5055
"2497" "F" 0.52 0.4 0.13 0.6245 0.215 0.2065 0.17
"1704" "F" 0.64 0.505 0.165 1.2235 0.5215 0.2695 0.36
"1888" "M" 0.56 0.445 0.165 0.832 0.3455 0.179 0.279
"3759" "M" 0.525 0.4 0.14 0.6055 0.2605 0.108 0.21
"1978" "F" 0.7 0.575 0.205 1.773 0.605 0.447 0.538
"597" "F" 0.55 0.43 0.14 0.7135 0.2565 0.186 0.225
"4059" "F" 0.695 0.56 0.185 1.7715 0.8195 0.331 0.437
"2009" "M" 0.425 0.315 0.095 0.3675 0.1865 0.0675 0.0985
"3421" "F" 0.595 0.475 0.165 1.148 0.444 0.214 0.37
"814" "M" 0.255 0.185 0.06 0.088 0.0365 0.021 0.023
"386" "F" 0.455 0.37 0.105 0.4925 0.216 0.1245 0.135
"3066" "F" 0.64 0.485 0.145 1.1335 0.5525 0.2505 0.3015
"3888" "F" 0.56 0.44 0.155 0.9705 0.4315 0.263 0.255
"259" "F" 0.635 0.505 0.17 1.415 0.605 0.297 0.365
"1911" "F" 0.58 0.5 0.165 0.925 0.37 0.185 0.3005
"107" "F" 0.545 0.43 0.165 0.802 0.2935 0.183 0.28
"2347" "F" 0.56 0.43 0.125 0.8025 0.313 0.1715 0.263
"2754" "M" 0.515 0.39 0.11 0.531 0.2415 0.098 0.1615
"3742" "F" 0.67 0.525 0.195 1.37 0.6065 0.2955 0.407
"3757" "M" 0.515 0.39 0.12 0.565 0.235 0.135 0.179
"266" "F" 0.46 0.38 0.13 0.639 0.3 0.1525 0.16
"906" "M" 0.32 0.24 0.09 0.1575 0.07 0.0265 0.0425
"3295" "F" 0.63 0.5 0.16 1.22 0.4905 0.3 0.345
"2465" "F" 0.52 0.405 0.14 0.6915 0.276 0.137 0.215
"1826" "M" 0.24 0.18 0.055 0.0555 0.0235 0.013 0.018
"493" "F" 0.655 0.51 0.155 1.2895 0.5345 0.2855 0.41
"1416" "F" 0.695 0.565 0.19 1.7635 0.7465 0.399 0.4975
"3560" "F" 0.565 0.45 0.175 1.2365 0.5305 0.2455 0.308
"2450" "F" 0.37 0.285 0.105 0.27 0.1125 0.0585 0.0835
"861" "F" 0.595 0.475 0.16 1.1405 0.547 0.231 0.271
"1718" "F" 0.65 0.495 0.155 1.337 0.615 0.3195 0.335
"596" "M" 0.575 0.455 0.18 0.8525 0.3015 0.1825 0.3
"944" "M" 0.465 0.345 0.11 0.4415 0.1755 0.0905 0.12
"1028" "F" 0.645 0.505 0.165 1.4325 0.684 0.308 0.336
"4073" "M" 0.5 0.36 0.12 0.439 0.1875 0.1055 0.1305
"3500" "F" 0.595 0.47 0.165 1.0155 0.491 0.1905 0.289
"2904" "F" 0.575 0.425 0.15 0.8765 0.455 0.18 0.228
"941" "M" 0.46 0.345 0.105 0.449 0.196 0.0945 0.1265
"3745" "M" 0.275 0.205 0.065 0.101 0.041 0.021 0.034
"1063" "M" 0.28 0.21 0.085 0.1075 0.0415 0.024 0.034
"1504" "F" 0.63 0.49 0.225 1.336 0.6805 0.259 0.3245
"1059" "M" 0.245 0.18 0.065 0.071 0.03 0.013 0.0215
"218" "M" 0.405 0.3 0.12 0.324 0.1265 0.07 0.11
"3000" "F" 0.635 0.525 0.18 1.3695 0.634 0.318 0.363
"1868" "M" 0.525 0.415 0.12 0.596 0.2805 0.12 0.1695
"2216" "F" 0.455 0.35 0.14 0.5725 0.1965 0.1325 0.175
"3340" "F" 0.585 0.475 0.185 0.8575 0.3465 0.1785 0.275
"2589" "F" 0.57 0.435 0.14 0.8585 0.3905 0.196 0.2295
"1468" "M" 0.515 0.4 0.125 0.5625 0.25 0.1245 0.17
"2544" "F" 0.7 0.525 0.19 1.6015 0.707 0.365 0.43
"3669" "F" 0.585 0.465 0.145 0.9855 0.4325 0.2145 0.2845
"2029" "F" 0.57 0.435 0.15 0.8295 0.3875 0.156 0.245
"991" "F" 0.575 0.46 0.16 1.103 0.538 0.221 0.249
"3956" "M" 0.49 0.385 0.12 0.591 0.271 0.1125 0.1775
"1229" "M" 0.36 0.27 0.085 0.196 0.0875 0.035 0.064
"4070" "M" 0.455 0.335 0.105 0.4055 0.175 0.092 0.1185
"2734" "M" 0.415 0.335 0.1 0.358 0.169 0.067 0.105
"3004" "F" 0.655 0.505 0.175 1.2905 0.6205 0.2965 0.326
"1079" "M" 0.42 0.31 0.095 0.279 0.1255 0.051 0.088
"2558" "M" 0.39 0.295 0.1 0.279 0.1155 0.059 0.08
"1588" "M" 0.515 0.395 0.125 0.6635 0.32 0.14 0.17
"3854" "F" 0.57 0.465 0.155 0.9685 0.446 0.261 0.255
"3030" "M" 0.52 0.41 0.14 0.6625 0.2775 0.1555 0.196
"3053" "F" 0.595 0.46 0.16 0.921 0.4005 0.2025 0.2875
"657" "F" 0.555 0.435 0.165 0.97 0.336 0.2315 0.295
"4085" "F" 0.575 0.48 0.17 1.1 0.506 0.2485 0.31
"3791" "F" 0.65 0.505 0.175 1.2075 0.5105 0.262 0.39
"4034" "M" 0.495 0.385 0.125 0.5125 0.2075 0.1155 0.172
"2242" "F" 0.435 0.32 0.12 0.3785 0.152 0.0915 0.125
"3198" "M" 0.31 0.235 0.075 0.1515 0.056 0.0315 0.05
"2220" "F" 0.485 0.375 0.145 0.5885 0.2385 0.1155 0.19
"1840" "M" 0.42 0.325 0.1 0.368 0.1675 0.0625 0.1135
"1191" "F" 0.69 0.53 0.17 1.5535 0.7945 0.3485 0.3695
"3489" "M" 0.52 0.38 0.13 0.5345 0.2375 0.122 0.1535
"1674" "M" 0.61 0.465 0.125 0.9225 0.436 0.19 0.26
"1256" "M" 0.425 0.32 0.1 0.3055 0.126 0.06 0.106
"1262" "M" 0.45 0.33 0.105 0.448 0.208 0.089 0.12
"2369" "F" 0.72 0.595 0.225 1.969 0.8045 0.423 0.66
"159" "F" 0.58 0.455 0.17 0.9075 0.374 0.2135 0.285
"1082" "M" 0.435 0.33 0.11 0.413 0.2055 0.096 0.096
"4107" "F" 0.72 0.59 0.205 1.7495 0.7755 0.4225 0.48
"477" "F" 0.465 0.35 0.115 0.421 0.1565 0.091 0.1345
"1309" "F" 0.545 0.445 0.15 0.8 0.3535 0.163 0.207
"1548" "M" 0.38 0.29 0.1 0.237 0.108 0.0395 0.082
"1293" "M" 0.515 0.4 0.135 0.6965 0.32 0.1255 0.175
"634" "M" 0.47 0.36 0.13 0.5225 0.198 0.1065 0.165
"639" "M" 0.44 0.345 0.12 0.487 0.1965 0.108 0.16
"4160" "F" 0.56 0.44 0.135 0.8025 0.35 0.1615 0.259
"2717" "M" 0.34 0.245 0.085 0.2015 0.1005 0.038 0.053
"557" "M" 0.525 0.405 0.15 0.795 0.3075 0.205 0.255
"18" "F" 0.44 0.34 0.1 0.451 0.188 0.087 0.13
"2922" "F" 0.6 0.45 0.15 0.9625 0.4375 0.2225 0.2775
"1999" "M" 0.35 0.235 0.08 0.17 0.0725 0.0465 0.0495
"250" "M" 0.345 0.27 0.11 0.2135 0.082 0.0545 0.07
"3263" "F" 0.595 0.485 0.145 1.2515 0.5035 0.2925 0.33
"940" "M" 0.46 0.36 0.1 0.4635 0.2325 0.093 0.115
"1614" "M" 0.55 0.42 0.135 0.816 0.3995 0.1485 0.23
"1786" "F" 0.535 0.425 0.135 0.771 0.3765 0.1815 0.1795
"4054" "F" 0.625 0.485 0.165 1.2255 0.5075 0.296 0.36
"2434" "F" 0.66 0.515 0.18 1.523 0.54 0.3365 0.555
"1822" "F" 0.72 0.55 0.195 2.073 1.0715 0.4265 0.5015
"839" "F" 0.48 0.365 0.135 0.6395 0.2945 0.113 0.175
"123" "F" 0.515 0.425 0.14 0.766 0.304 0.1725 0.255
"168" "F" 0.68 0.57 0.205 1.842 0.625 0.408 0.65
"1738" "F" 0.67 0.55 0.155 1.566 0.858 0.339 0.354
"2127" "F" 0.5 0.4 0.125 0.5765 0.2395 0.126 0.185
"747" "F" 0.66 0.52 0.2 1.676 0.673 0.4805 0.45
"949" "F" 0.475 0.36 0.12 0.5915 0.3245 0.11 0.127
"4109" "M" 0.48 0.35 0.1 0.519 0.2365 0.1275 0.126
"584" "M" 0.46 0.355 0.14 0.4935 0.216 0.133 0.115
"3592" "F" 0.65 0.475 0.165 1.3875 0.58 0.3485 0.3095
"1577" "M" 0.49 0.375 0.115 0.4615 0.204 0.0945 0.143
"1908" "F" 0.575 0.43 0.155 0.7955 0.3485 0.1925 0.22
"2553" "M" 0.31 0.225 0.075 0.155 0.065 0.037 0.0365
"2503" "M" 0.285 0.21 0.07 0.109 0.044 0.0265 0.033
"932" "F" 0.445 0.335 0.11 0.4355 0.2025 0.1095 0.1195
"2506" "M" 0.34 0.255 0.075 0.18 0.0745 0.04 0.0525
"3036" "M" 0.55 0.405 0.15 0.6755 0.3015 0.1465 0.21
"1382" "F" 0.625 0.505 0.175 1.15 0.5475 0.256 0.3045
"459" "M" 0.415 0.31 0.11 0.2965 0.123 0.057 0.0995
"2731" "M" 0.405 0.3 0.09 0.2885 0.138 0.0635 0.0765
"2094" "F" 0.505 0.385 0.115 0.616 0.243 0.1075 0.21
