"Gender" "Length" "Diameter" "Height" "Weight" "Shucked" "Viscera" "Shell"
"2882" "M" 0.495 0.375 0.12 0.614 0.2855 0.1365 0.161
"1255" "M" 0.425 0.325 0.11 0.3335 0.173 0.045 0.1
"348" "M" 0.34 0.26 0.08 0.2 0.08 0.0555 0.055
"3446" "M" 0.495 0.4 0.145 0.578 0.2545 0.1305 0.1645
"687" "F" 0.535 0.4 0.15 0.8045 0.3345 0.2125 0.21
"1889" "F" 0.565 0.445 0.125 0.8305 0.3135 0.1785 0.23
"3630" "M" 0.27 0.205 0.05 0.084 0.03 0.0185 0.029
"3741" "F" 0.65 0.5 0.17 1.4045 0.694 0.318 0.3235
"1598" "M" 0.53 0.43 0.135 0.6255 0.245 0.1455 0.2135
"3480" "M" 0.44 0.33 0.11 0.38 0.197 0.079 0.09
"1647" "M" 0.58 0.445 0.125 0.7095 0.303 0.1405 0.235
"3305" "F" 0.57 0.435 0.14 0.8085 0.3235 0.183 0.22
"404" "F" 0.515 0.415 0.14 0.6935 0.3115 0.152 0.2
"117" "F" 0.49 0.375 0.135 0.6125 0.2555 0.102 0.22
"2815" "M" 0.275 0.2 0.055 0.0925 0.038 0.021 0.026
"3257" "F" 0.575 0.48 0.15 0.8745 0.375 0.193 0.29
"995" "F" 0.58 0.45 0.145 1.137 0.5585 0.22 0.29
"2509" "M" 0.415 0.315 0.105 0.33 0.1405 0.0705 0.095
"2378" "M" 0.535 0.41 0.155 0.6315 0.2745 0.1415 0.1815
"568" "M" 0.435 0.33 0.125 0.406 0.1685 0.1055 0.096
"1228" "M" 0.35 0.255 0.09 0.1785 0.0855 0.0305 0.0525
"984" "F" 0.565 0.4 0.13 0.6975 0.3075 0.1665 0.18
"1263" "M" 0.455 0.345 0.105 0.4005 0.164 0.0755 0.126
"2877" "M" 0.445 0.31 0.09 0.336 0.1555 0.09 0.0855
"311" "F" 0.63 0.485 0.19 1.2435 0.4635 0.3055 0.39
"2934" "F" 0.615 0.495 0.165 1.198 0.5415 0.2865 0.3185
"1501" "F" 0.63 0.5 0.175 1.1105 0.467 0.268 0.329
"924" "M" 0.425 0.34 0.1 0.382 0.164 0.096 0.1
"2245" "M" 0.355 0.28 0.1 0.2275 0.0935 0.0455 0.085
"3977" "M" 0.45 0.35 0.135 0.494 0.2205 0.0945 0.1405
"4026" "M" 0.33 0.26 0.085 0.1965 0.0915 0.0425 0.055
"119" "F" 0.56 0.43 0.15 0.8825 0.3465 0.172 0.31
"35" "F" 0.705 0.55 0.2 1.7095 0.633 0.4115 0.49
"1379" "F" 0.62 0.5 0.15 1.293 0.596 0.3135 0.354
"153" "F" 0.635 0.515 0.19 1.3715 0.5065 0.305 0.45
"2469" "F" 0.37 0.275 0.08 0.227 0.093 0.0625 0.07
"3484" "M" 0.47 0.355 0.115 0.4155 0.167 0.084 0.139
"4150" "M" 0.28 0.215 0.07 0.124 0.063 0.0215 0.03
"3813" "F" 0.61 0.49 0.17 1.137 0.4605 0.2825 0.344
"2692" "F" 0.645 0.52 0.18 1.285 0.5775 0.352 0.317
"2455" "M" 0.275 0.2 0.065 0.092 0.0385 0.0235 0.027
"903" "M" 0.305 0.22 0.07 0.141 0.062 0.031 0.037
"1290" "M" 0.505 0.395 0.105 0.551 0.248 0.103 0.171
"2146" "F" 0.415 0.325 0.115 0.3455 0.1405 0.0765 0.11
"3640" "M" 0.44 0.32 0.095 0.3275 0.1495 0.059 0.1
"2957" "F" 0.65 0.565 0.2 1.6645 0.753 0.367 0.43
"3108" "M" 0.37 0.275 0.1 0.2815 0.1505 0.0505 0.068
"840" "M" 0.485 0.355 0.105 0.498 0.2175 0.096 0.1525
"3400" "F" 0.46 0.35 0.115 0.44 0.19 0.1025 0.13
"1187" "F" 0.685 0.54 0.215 1.7025 0.664 0.3655 0.4735
"378" "F" 0.585 0.45 0.16 1.077 0.4995 0.2875 0.25
"301" "F" 0.405 0.305 0.095 0.3485 0.1455 0.0895 0.1
"1120" "M" 0.54 0.42 0.14 0.6665 0.3125 0.138 0.1895
"3793" "F" 0.655 0.52 0.175 1.472 0.6275 0.27 0.45
"3666" "M" 0.575 0.45 0.145 0.872 0.4675 0.18 0.217
"1477" "F" 0.56 0.435 0.15 0.8715 0.4755 0.1835 0.1835
"3283" "F" 0.58 0.475 0.165 1.0385 0.414 0.26 0.305
"1804" "F" 0.615 0.455 0.145 1.1155 0.5045 0.238 0.315
"2414" "F" 0.505 0.38 0.145 0.651 0.2935 0.19 0.17
"3248" "F" 0.61 0.495 0.19 1.213 0.464 0.306 0.365
"2772" "F" 0.575 0.435 0.155 0.8975 0.4115 0.2325 0.23
"3444" "M" 0.485 0.37 0.1 0.513 0.219 0.1075 0.13
"1634" "M" 0.575 0.425 0.135 0.7965 0.364 0.196 0.239
"3562" "M" 0.57 0.42 0.13 0.7745 0.3535 0.1505 0.2365
"3323" "F" 0.48 0.37 0.13 0.5885 0.2475 0.1505 0.1595
"1195" "F" 0.7 0.525 0.19 1.6465 0.8545 0.307 0.3995
"2227" "M" 0.355 0.28 0.11 0.2235 0.0815 0.0525 0.08
"3270" "F" 0.595 0.465 0.145 1.107 0.402 0.2415 0.31
"3166" "F" 0.545 0.41 0.115 0.6765 0.29 0.158 0.22
"2371" "M" 0.42 0.325 0.115 0.354 0.1625 0.064 0.105
"2320" "F" 0.505 0.395 0.145 0.6515 0.2695 0.153 0.205
"3527" "M" 0.335 0.26 0.085 0.192 0.097 0.03 0.054
"1496" "F" 0.62 0.435 0.155 1.012 0.477 0.236 0.275
"1236" "M" 0.375 0.29 0.085 0.2385 0.118 0.045 0.0695
"4043" "F" 0.575 0.46 0.165 0.9575 0.4815 0.1945 0.236
"430" "F" 0.575 0.45 0.17 1.0475 0.3775 0.1705 0.385
"2407" "F" 0.58 0.46 0.185 1.017 0.3515 0.2 0.32
"1920" "M" 0.605 0.49 0.165 1.071 0.482 0.1935 0.352
"2412" "M" 0.5 0.395 0.12 0.537 0.2165 0.1085 0.1785
"3917" "F" 0.52 0.41 0.16 0.712 0.2845 0.153 0.225
"3107" "M" 0.3 0.22 0.065 0.1235 0.059 0.026 0.0315
"2637" "M" 0.44 0.34 0.1 0.407 0.209 0.0735 0.103
"4008" "F" 0.585 0.46 0.15 1.0035 0.503 0.2105 0.2515
"3636" "M" 0.37 0.275 0.095 0.257 0.1015 0.055 0.0825
"3022" "M" 0.455 0.355 0.105 0.372 0.138 0.0765 0.135
"441" "M" 0.36 0.275 0.11 0.2335 0.095 0.0525 0.085
"1367" "M" 0.61 0.465 0.15 0.9605 0.4495 0.1725 0.286
"3315" "M" 0.45 0.355 0.115 0.4385 0.184 0.108 0.1125
"592" "F" 0.37 0.29 0.115 0.25 0.111 0.057 0.075
"1892" "M" 0.565 0.435 0.145 0.8445 0.3975 0.158 0.255
"405" "M" 0.44 0.345 0.12 0.365 0.1655 0.083 0.11
"1666" "F" 0.605 0.48 0.14 0.991 0.4735 0.2345 0.24
"1942" "F" 0.625 0.47 0.145 0.984 0.475 0.2 0.265
"1340" "F" 0.58 0.445 0.15 0.858 0.4 0.156 0.253
"2232" "F" 0.505 0.4 0.165 0.729 0.2675 0.155 0.25
"3574" "F" 0.595 0.465 0.145 0.7955 0.3425 0.1795 0.2425
"2048" "M" 0.42 0.315 0.115 0.355 0.1895 0.065 0.087
"4122" "M" 0.455 0.35 0.13 0.4725 0.215 0.0745 0.15
"2964" "F" 0.67 0.525 0.19 1.527 0.5755 0.353 0.44
"2860" "F" 0.72 0.565 0.18 1.719 0.8465 0.407 0.3875
"1137" "F" 0.575 0.46 0.145 0.9945 0.466 0.229 0.265
"1958" "F" 0.645 0.52 0.21 1.5535 0.616 0.3655 0.474
"376" "F" 0.675 0.545 0.195 1.7345 0.6845 0.3695 0.605
"1259" "M" 0.43 0.315 0.095 0.378 0.175 0.08 0.1045
"3886" "M" 0.41 0.33 0.105 0.335 0.1525 0.074 0.11
"1274" "M" 0.475 0.38 0.12 0.441 0.1785 0.0885 0.1505
"2915" "M" 0.59 0.46 0.125 0.755 0.334 0.15 0.238
"2736" "M" 0.42 0.315 0.11 0.4025 0.1855 0.083 0.1015
"2439" "F" 0.515 0.4 0.17 0.796 0.258 0.1755 0.28
"2331" "M" 0.42 0.345 0.115 0.3435 0.1515 0.0795 0.115
"653" "M" 0.47 0.35 0.13 0.466 0.1845 0.099 0.145
"574" "F" 0.57 0.44 0.14 0.9535 0.3785 0.201 0.305
"226" "F" 0.5 0.37 0.135 0.45 0.1715 0.1055 0.155
"1321" "M" 0.56 0.425 0.135 0.8205 0.3715 0.185 0.236
"2042" "M" 0.325 0.24 0.07 0.152 0.0565 0.0305 0.054
"1449" "M" 0.44 0.365 0.11 0.4465 0.213 0.089 0.1135
"936" "M" 0.45 0.345 0.11 0.47 0.2355 0.0855 0.1135
"1060" "M" 0.25 0.18 0.065 0.0685 0.0245 0.0155 0.0225
"3987" "F" 0.645 0.525 0.17 1.37 0.6135 0.283 0.34
"2389" "M" 0.515 0.375 0.14 0.6505 0.2495 0.141 0.2215
"1482" "F" 0.58 0.435 0.14 0.953 0.475 0.2165 0.2095
"1424" "F" 0.725 0.6 0.2 1.737 0.697 0.3585 0.595
"3429" "M" 0.25 0.18 0.065 0.0805 0.0345 0.0185 0.0215
"963" "M" 0.505 0.39 0.15 0.685 0.362 0.131 0.156
"3153" "F" 0.47 0.375 0.105 0.513 0.232 0.142 0.13
"1284" "M" 0.5 0.375 0.145 0.5795 0.239 0.1375 0.185
"891" "F" 0.695 0.56 0.22 1.834 0.8455 0.422 0.455
"1700" "M" 0.635 0.5 0.165 1.489 0.715 0.3445 0.3615
"1874" "M" 0.53 0.405 0.12 0.632 0.2715 0.148 0.1875
"190" "F" 0.585 0.46 0.17 0.9325 0.365 0.271 0.29
"1620" "M" 0.56 0.445 0.15 0.8225 0.3685 0.187 0.236
"973" "F" 0.525 0.415 0.14 0.724 0.3475 0.173 0.175
"1214" "M" 0.25 0.19 0.065 0.0835 0.039 0.015 0.025
"668" "F" 0.485 0.38 0.15 0.605 0.2155 0.14 0.18
"3872" "F" 0.45 0.36 0.11 0.447 0.203 0.082 0.13
"3688" "M" 0.625 0.485 0.16 1.15 0.5255 0.257 0.3315
"3088" "M" 0.425 0.31 0.095 0.3075 0.139 0.0745 0.093
"2083" "F" 0.665 0.525 0.21 1.644 0.818 0.3395 0.4275
"683" "F" 0.435 0.325 0.115 0.3915 0.154 0.094 0.12
"1376" "F" 0.615 0.475 0.155 1.115 0.484 0.2115 0.355
"245" "M" 0.33 0.255 0.085 0.1655 0.063 0.039 0.06
"3366" "M" 0.44 0.31 0.115 0.3625 0.134 0.082 0.12
"512" "F" 0.455 0.35 0.14 0.5185 0.221 0.1265 0.135
"2932" "F" 0.615 0.515 0.135 1.1215 0.545 0.2305 0.29
"3827" "F" 0.68 0.52 0.185 1.541 0.5985 0.395 0.4575
"3311" "F" 0.62 0.485 0.165 1.166 0.483 0.238 0.355
"2075" "F" 0.585 0.485 0.15 1.079 0.4145 0.2115 0.356
"3930" "F" 0.65 0.515 0.215 1.498 0.564 0.323 0.425
"1133" "F" 0.565 0.45 0.175 1.0095 0.447 0.2375 0.2645
"83" "F" 0.52 0.425 0.165 0.9885 0.396 0.225 0.32
"189" "F" 0.63 0.48 0.16 1.199 0.5265 0.335 0.315
"1872" "M" 0.53 0.43 0.16 0.7245 0.321 0.1275 0.24
"1221" "M" 0.33 0.25 0.095 0.2085 0.102 0.0395 0.052
"1560" "M" 0.435 0.335 0.1 0.3295 0.129 0.07 0.11
"3455" "F" 0.575 0.46 0.165 1.065 0.4985 0.2145 0.2815
"2953" "F" 0.645 0.485 0.15 1.151 0.5935 0.2315 0.293
"4133" "M" 0.585 0.47 0.17 0.985 0.3695 0.2395 0.315
"157" "F" 0.575 0.46 0.19 0.994 0.392 0.2425 0.34
"1313" "F" 0.55 0.405 0.125 0.651 0.2965 0.137 0.2
"1623" "M" 0.565 0.42 0.155 0.743 0.31 0.186 0.231
"2299" "M" 0.415 0.325 0.1 0.385 0.167 0.08 0.125
"556" "M" 0.5 0.385 0.15 0.6265 0.2605 0.1665 0.16
"1011" "F" 0.62 0.51 0.18 1.3315 0.594 0.276 0.388
"1940" "F" 0.625 0.445 0.16 1.09 0.46 0.2965 0.304
"4013" "F" 0.62 0.465 0.14 1.011 0.479 0.2385 0.255
"197" "F" 0.505 0.41 0.15 0.644 0.285 0.145 0.21
"435" "M" 0.44 0.345 0.1 0.366 0.122 0.0905 0.12
"220" "F" 0.415 0.305 0.13 0.32 0.1305 0.0755 0.105
"826" "M" 0.395 0.29 0.095 0.319 0.138 0.08 0.082
"3954" "M" 0.465 0.355 0.12 0.5805 0.255 0.0915 0.184
"3204" "F" 0.635 0.505 0.185 1.3035 0.501 0.295 0.41
"3416" "F" 0.56 0.465 0.16 1.0315 0.432 0.2025 0.337
"3797" "F" 0.675 0.54 0.21 1.593 0.686 0.318 0.45
"4058" "F" 0.69 0.535 0.185 1.826 0.797 0.409 0.499
"3321" "F" 0.535 0.425 0.155 0.7765 0.302 0.1565 0.25
"1446" "M" 0.43 0.34 0.105 0.4405 0.2385 0.0745 0.1075
"2872" "M" 0.375 0.28 0.085 0.2145 0.0855 0.0485 0.072
"187" "F" 0.63 0.48 0.15 1.0525 0.392 0.336 0.285
"2010" "M" 0.43 0.32 0.11 0.3675 0.1675 0.102 0.105
"1877" "M" 0.54 0.395 0.135 0.6555 0.2705 0.155 0.192
"3354" "M" 0.475 0.365 0.14 0.4545 0.171 0.118 0.158
"1001" "F" 0.595 0.45 0.15 1.114 0.5865 0.2205 0.25
"393" "F" 0.47 0.375 0.125 0.5615 0.252 0.137 0.18
"3445" "F" 0.49 0.4 0.115 0.569 0.256 0.1325 0.145
"2949" "F" 0.635 0.5 0.19 1.29 0.593 0.3045 0.352
"1078" "M" 0.42 0.32 0.11 0.3625 0.174 0.0635 0.105
"1655" "M" 0.595 0.46 0.15 0.8335 0.377 0.1925 0.235
"800" "F" 0.425 0.345 0.11 0.3665 0.125 0.081 0.117
"3622" "F" 0.655 0.455 0.17 1.275 0.583 0.303 0.333
"230" "F" 0.53 0.415 0.16 0.783 0.2935 0.158 0.245
"3664" "M" 0.55 0.4 0.135 0.717 0.3315 0.1495 0.221
"3301" "F" 0.615 0.5 0.205 1.1055 0.4445 0.227 0.39
"2058" "M" 0.48 0.35 0.135 0.5465 0.2735 0.0995 0.158
"3918" "M" 0.615 0.46 0.19 1.066 0.4335 0.226 0.33
"3312" "F" 0.48 0.38 0.135 0.507 0.1915 0.1365 0.155
"3579" "F" 0.6 0.475 0.17 1.088 0.4905 0.2475 0.31
"625" "M" 0.465 0.36 0.105 0.498 0.214 0.116 0.14
"116" "F" 0.53 0.415 0.115 0.5915 0.233 0.1585 0.18
"3638" "M" 0.435 0.325 0.1 0.342 0.1335 0.0835 0.105
"2732" "M" 0.41 0.315 0.1 0.3 0.124 0.0575 0.1
"73" "F" 0.595 0.475 0.17 1.247 0.48 0.225 0.425
"2981" "M" 0.5 0.37 0.115 0.5745 0.306 0.112 0.141
"154" "F" 0.605 0.485 0.16 1.0565 0.37 0.2355 0.355
"228" "M" 0.365 0.27 0.085 0.205 0.078 0.0485 0.07
"465" "M" 0.255 0.195 0.07 0.0735 0.0255 0.02 0.025
"3881" "M" 0.38 0.3 0.1 0.286 0.1305 0.056 0.09
"919" "M" 0.41 0.305 0.09 0.3535 0.157 0.0745 0.1
"1427" "F" 0.745 0.57 0.215 2.25 1.1565 0.446 0.558
"3908" "M" 0.48 0.39 0.15 0.6275 0.276 0.134 0.185
"1644" "F" 0.58 0.435 0.15 0.834 0.428 0.1515 0.23
"1993" "M" 0.29 0.21 0.07 0.1115 0.048 0.0205 0.03
"3505" "F" 0.62 0.51 0.18 1.233 0.592 0.274 0.322
"1429" "F" 0.815 0.65 0.25 2.255 0.8905 0.42 0.7975
"1668" "F" 0.605 0.505 0.18 1.434 0.7285 0.264 0.431
"2200" "F" 0.68 0.55 0.2 1.596 0.525 0.4075 0.585
"3041" "F" 0.57 0.47 0.14 0.871 0.385 0.211 0.2315
"1676" "F" 0.61 0.485 0.18 1.2795 0.5735 0.2855 0.355
"1005" "F" 0.605 0.49 0.15 1.1345 0.5265 0.2645 0.295
"3261" "F" 0.56 0.435 0.125 0.8775 0.3345 0.2145 0.29
"1810" "F" 0.64 0.475 0.14 1.0725 0.4895 0.2295 0.31
"3800" "F" 0.705 0.56 0.17 1.4575 0.607 0.318 0.44
"4123" "M" 0.46 0.365 0.11 0.4495 0.1755 0.102 0.15
"1329" "M" 0.57 0.45 0.145 0.751 0.2825 0.2195 0.2215
"895" "M" 0.24 0.175 0.065 0.0665 0.031 0.0135 0.017
"2296" "F" 0.52 0.415 0.145 0.8045 0.3325 0.1725 0.285
"3481" "M" 0.45 0.34 0.105 0.4385 0.21 0.0925 0.12
"2185" "M" 0.32 0.235 0.08 0.1485 0.064 0.031 0.045
"2750" "M" 0.505 0.38 0.135 0.5385 0.2645 0.095 0.165
"2564" "M" 0.44 0.355 0.12 0.495 0.231 0.11 0.125
"3823" "F" 0.605 0.48 0.175 1.1685 0.4815 0.2305 0.356
"2301" "F" 0.48 0.405 0.13 0.6375 0.277 0.1445 0.21
"3570" "M" 0.58 0.47 0.15 0.907 0.444 0.1855 0.2445
"1663" "F" 0.605 0.455 0.145 0.9775 0.468 0.1775 0.275
"3751" "M" 0.435 0.375 0.11 0.4155 0.17 0.076 0.145
"3275" "F" 0.5 0.405 0.14 0.6735 0.265 0.124 0.25
"1210" "F" 0.78 0.63 0.215 2.657 1.488 0.4985 0.586
"663" "F" 0.415 0.34 0.13 0.3675 0.146 0.0885 0.12
"4036" "M" 0.52 0.41 0.14 0.5995 0.242 0.1375 0.182
"48" "F" 0.46 0.375 0.12 0.4605 0.1775 0.11 0.15
"3740" "F" 0.65 0.525 0.165 1.238 0.647 0.2485 0.3005
"1322" "M" 0.56 0.425 0.145 0.688 0.3095 0.1305 0.2165
"4006" "F" 0.555 0.43 0.14 0.7545 0.3525 0.1835 0.2015
"1421" "F" 0.71 0.55 0.17 1.614 0.743 0.345 0.45
"1865" "M" 0.52 0.395 0.125 0.5805 0.2445 0.146 0.165
"2898" "M" 0.545 0.43 0.15 0.742 0.3525 0.158 0.208
"3133" "F" 0.685 0.53 0.17 1.5105 0.7385 0.3525 0.3725
"1492" "F" 0.605 0.515 0.17 1.289 0.6 0.2945 0.3315
"1651" "M" 0.59 0.46 0.145 0.9015 0.419 0.1785 0.26
"1858" "M" 0.505 0.4 0.145 0.7045 0.334 0.1425 0.207
"849" "F" 0.55 0.43 0.125 0.923 0.4035 0.175 0.283
"2415" "M" 0.42 0.305 0.11 0.28 0.094 0.0785 0.0955
"1723" "F" 0.655 0.51 0.15 1.043 0.4795 0.223 0.305
"172" "F" 0.53 0.395 0.145 0.775 0.308 0.169 0.255
"2720" "M" 0.36 0.26 0.08 0.1795 0.074 0.0315 0.06
"2387" "F" 0.485 0.365 0.14 0.6195 0.2595 0.1445 0.177
"818" "M" 0.35 0.27 0.09 0.2055 0.075 0.0575 0.062
"2838" "F" 0.58 0.445 0.135 0.95 0.484 0.182 0.2325
"1547" "M" 0.38 0.285 0.095 0.243 0.0895 0.0665 0.075
"2086" "F" 0.705 0.57 0.185 1.761 0.747 0.3725 0.488
"2885" "M" 0.505 0.425 0.125 0.6115 0.245 0.1375 0.2
"2742" "M" 0.46 0.35 0.1 0.471 0.252 0.077 0.123
"2363" "F" 0.66 0.525 0.205 1.3665 0.5005 0.291 0.41
"417" "F" 0.63 0.5 0.17 1.3135 0.5595 0.267 0.4
"3237" "M" 0.345 0.285 0.1 0.2225 0.0865 0.058 0.075
"2738" "M" 0.445 0.36 0.11 0.4235 0.182 0.0765 0.14
"658" "F" 0.615 0.515 0.17 1.14 0.4305 0.2245 0.42
"3883" "F" 0.67 0.545 0.16 1.5415 0.5985 0.2565 0.495
"3744" "F" 0.705 0.555 0.195 1.7525 0.7105 0.4215 0.516
"1439" "M" 0.4 0.3 0.09 0.2815 0.1185 0.061 0.08
"2926" "M" 0.605 0.48 0.155 0.9995 0.425 0.1985 0.3
"1218" "M" 0.315 0.23 0.08 0.1375 0.0545 0.031 0.0445
"1411" "F" 0.665 0.53 0.18 1.491 0.6345 0.342 0.435
"3653" "F" 0.525 0.425 0.14 0.8735 0.4205 0.182 0.2225
"1981" "F" 0.705 0.535 0.22 1.866 0.929 0.3835 0.4395
"3059" "M" 0.62 0.475 0.16 0.907 0.371 0.167 0.3075
"886" "F" 0.67 0.585 0.16 1.309 0.5445 0.2945 0.413
"2668" "F" 0.585 0.45 0.15 0.938 0.467 0.203 0.225
"3563" "F" 0.57 0.42 0.16 0.8875 0.4315 0.1915 0.223
"1841" "M" 0.43 0.34 0.1 0.3405 0.1395 0.0665 0.12
"1657" "F" 0.6 0.475 0.15 1.13 0.575 0.196 0.305
"1679" "M" 0.62 0.485 0.18 1.154 0.4935 0.256 0.315
"406" "F" 0.525 0.44 0.15 0.8425 0.3685 0.1985 0.24
"1611" "M" 0.545 0.42 0.125 0.717 0.358 0.112 0.22
"1595" "M" 0.525 0.4 0.14 0.654 0.305 0.16 0.169
"1581" "M" 0.5 0.4 0.12 0.616 0.261 0.143 0.1935
"2346" "F" 0.71 0.565 0.195 1.7265 0.638 0.3365 0.565
"1135" "F" 0.57 0.445 0.145 0.8775 0.412 0.217 0.22
"913" "M" 0.345 0.265 0.1 0.2455 0.111 0.0535 0.065
"1428" "F" 0.75 0.61 0.235 2.5085 1.232 0.519 0.612
"3234" "F" 0.61 0.48 0.19 1.2955 0.5215 0.3225 0.365
"765" "F" 0.61 0.47 0.145 1.153 0.403 0.296 0.32
"2198" "M" 0.405 0.305 0.105 0.3625 0.1565 0.0705 0.125
"2986" "M" 0.535 0.4 0.135 0.775 0.368 0.208 0.2055
"2751" "M" 0.51 0.385 0.145 0.7665 0.3985 0.14 0.1805
"1946" "F" 0.635 0.505 0.155 1.2895 0.594 0.314 0.345
"1243" "M" 0.385 0.29 0.09 0.2615 0.111 0.0595 0.0745
"2133" "F" 0.52 0.41 0.125 0.6985 0.2945 0.1625 0.215
"2142" "M" 0.32 0.24 0.075 0.1735 0.076 0.0355 0.05
"4088" "M" 0.595 0.475 0.155 0.984 0.4865 0.184 0.2755
"403" "F" 0.435 0.325 0.11 0.4335 0.178 0.0985 0.155
"3521" "F" 0.72 0.545 0.185 1.7185 0.7925 0.401 0.468
"3364" "M" 0.54 0.405 0.15 0.7585 0.307 0.2075 0.19
"931" "M" 0.44 0.325 0.09 0.35 0.148 0.067 0.105
"2297" "F" 0.535 0.45 0.135 0.8075 0.322 0.181 0.25
"2873" "M" 0.4 0.315 0.09 0.3245 0.151 0.073 0.088
"2763" "M" 0.55 0.42 0.155 0.912 0.495 0.1805 0.205
"1846" "M" 0.445 0.33 0.11 0.358 0.1525 0.067 0.1185
"2002" "M" 0.36 0.27 0.085 0.2185 0.1065 0.038 0.062
"816" "M" 0.325 0.25 0.08 0.1735 0.0765 0.0345 0.049
"2779" "F" 0.585 0.455 0.13 0.8755 0.411 0.2065 0.225
"916" "M" 0.375 0.28 0.09 0.215 0.084 0.06 0.055
"363" "F" 0.65 0.525 0.175 1.4225 0.61 0.2995 0.445
"2560" "M" 0.415 0.325 0.1 0.3335 0.1445 0.0715 0.095
"1894" "M" 0.565 0.46 0.155 0.8715 0.3755 0.215 0.25
"2537" "F" 0.655 0.545 0.165 1.6225 0.6555 0.299 0.513
"3358" "M" 0.375 0.285 0.1 0.239 0.105 0.0555 0.07
"423" "F" 0.49 0.39 0.135 0.5785 0.2465 0.123 0.2
